"establecimiento_id","establecimiento_nombre","provincia_id","Código de localidad BAHRA","provincia_nombre","origen_financiamiento","tipologia_id","tipologia_sigla","sitio_web"
"14020012315325","INSTITUTO OTORRINOLARINGOLOGICO S.A.","02",2000010000,"CABA","Privado",14,"ESCIE","*sin dato*"
"14020012315327","INSTITUTO SUPERIOR DE OTORRINOLARINGOLOGIA S.A.","02",2000010000,"CABA","Privado",14,"ESCIE","www.iso-otorrino.com.ar"
"14020012215322","INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.)","02",2000010000,"CABA","Público",14,"ESCIE","*sin dato*"
"14020012315320","INSTITUTO DE NEFROLOGIA NEPHROLOGY S.A.","02",2000010000,"CABA","Privado",14,"ESCIE","nephrology.com.ar"
"14020012315478","INSTITUTO DE MEDICINA Y CIRUGIA CARDIOVASCULAR - I.M.E.C.C.","02",2000010000,"CABA","Privado",14,"ESCIE","www.imecc.com.ar/indexf.swf"
"14020012315476","INSTITUTO MEDICO INTEGRAL DE FERTILIDAD FECUNDITAS","02",2000010000,"CABA","Privado",14,"ESCIE","www.fecunditas.com"
"14020012215306","HOSPITAL DE REHABILITACION M. ROCCA","02",2000010000,"CABA","Público",14,"ESCIE","*sin dato*"
"10020012315190","CLINICA DEL ROSARIO S.A.","02",2000010000,"CABA","Privado",14,"ESCIE","clinicadelrosario.com"
"14020012515323","INSTITUTO DE TISIONEUMONOLOGIA PROFESOR DR. RAUL VACCAREZZA","02",2000010000,"CABA","Público",14,"ESCIE","*sin dato*"
"14020012215309","HOSPITAL MUNICIPAL DE QUEMADOS","02",2000010000,"CABA","Público",14,"ESCIE","*sin dato*"
"14020012315313","INSTITUTO ALEXANDER FLEMING","02",2000010000,"CABA","Privado",14,"ESCIE","www.alexanderfleming.org"
"14020012315315","INSTITUTO ARGENTINO DE RIÑON Y TRANSPLANTE S.A.","02",2000010000,"CABA","Privado",14,"ESCIE","www.iartsa.com.ar"
"14020012315316","INSTITUTO CARDIOVASCULAR INFANTIL","02",2000010000,"CABA","Privado",14,"ESCIE","icicardioinfantil.com.ar"
"14020012315317","INSTITUTO DE CARDIOLOGIA Y CIRUGIA CARDIOVASCULAR - FUNDACION FAVALORO (","02",2000010000,"CABA","Privado",14,"ESCIE","www.fundacionfavaloro.org"
"14020012315311","ICBA INSTITUTO CARDIOVASCULAR DE BUENOS AIRES","02",2000010000,"CABA","Privado",14,"ESCIE","www.icba-cardiovascular.com"
"14020012315319","FLENI - SEDE BELGRANO","02",2000010000,"CABA","Privado",14,"ESCIE","www.fleni.org.ar/web/fleni_"
"50020012415342","U. 21 CENTRO PENITENCIARIO DE ENFERMEDADES INFECCIOSAS","02",2000010000,"CABA","Público",14,"ESCIE","*sin dato*"
